인허가일자,상세영업상태명,폐업일자,지번주소,도로명주소,사업장명,업태구분명
20160504,영업,0,서울특별시 종로구 창신동 447-3번지 1층 ,서울특별시 종로구 종로44길 17 1층 (창신동),시티박,편의점
20150106,영업,0,서울특별시 종로구 연건동 188-3번지 지상1층 ,서울특별시 종로구 율곡로 212 지상1층 (연건동),이화동(同),편의점
20150107,영업,0,서울특별시 종로구 숭인동 316-2번지 지상1층 2호 ,서울특별시 종로구 지봉로 18 지상1층 2호 (숭인동),셀렉토커피 동묘역점,편의점
20150123,영업,0,서울특별시 종로구 인의동 101-1번지 지상1층 ,서울특별시 종로구 창경궁로 119 지상1층 (인의동),세븐일레븐 창경궁로점,편의점
20160331,영업,0,서울특별시 종로구 종로1가 24번지 1층 108-2호 ,서울특별시 종로구 종로 19 1층 108-2호 (종로1가),컴포즈커피 종로구청점,편의점
20150826,영업,0,서울특별시 종로구 숭인동 201-26번지 ,서울특별시 종로구 난계로29길 27 1층 (숭인동),세븐일레븐,편의점
20050905,영업,0,서울특별시 종로구 연건동 190-19번지 지상1층 ,서울특별시 종로구 대학로 50 (연건동지상1층),테라 스위트(Terra sweet)본점,편의점
20050926,영업,0,서울특별시 종로구 효제동 126-2번지 지상1층 ,서울특별시 종로구 김상옥로 55 (효제동지상1층),세븐일레븐 종로효제점,편의점
20051017,영업,0,서울특별시 종로구 종로2가 8-4번지 지상1층 ,서울특별시 종로구 종로 65 (종로2가지상1층),델리 & 젤라또,편의점
20040827,영업,0,서울특별시 종로구 인사동 75-1번지  (지상1층) ,서울특별시 종로구 삼일대로 405 (인사동 (지상1층)),프로젝트88,편의점
20061208,영업,0,서울특별시 종로구 청진동 183-1번지 지상1층 ,서울특별시 종로구 종로3길 32 (청진동지상1층),세븐일레븐종로타운점,편의점
20070112,영업,0,서울특별시 종로구 명륜1가 31-1번지 1층 ,서울특별시 종로구 성균관로 90 1층 (명륜1가 유성빌딩),젤로,편의점
20070122,영업,0,서울특별시 종로구 평창동 403-5번지 (지상1층) ,서울특별시 종로구 평창6길 81 (평창동(지상1층)),포레,편의점
20070213,영업,0,서울특별시 종로구 인의동 14번지  (지상1층) ,서울특별시 종로구 창경궁로 128-1 (인의동 (지상1층)),해피유머리스트,편의점
20080311,영업,0,서울특별시 종로구 종로3가 61-68번지 (종로3가역 지하4층) ,,세븐일레븐(S종로3가역점),편의점
20080320,영업,0,서울특별시 종로구 연건동 77-2번지 지상1층 ,서울특별시 종로구 대학로 81-1 (연건동지상1층),이디야,편의점
20080401,영업,0,서울특별시 종로구 익선동 5번지 지상1층 ,서울특별시 종로구 삼일대로32길 30 (익선동지상1층),마블러스,편의점
20161026,영업,0,서울특별시 종로구 혜화동 109-1번지 지층 ,서울특별시 종로구 혜화로 8 지층 (혜화동),온앤온,편의점
20161107,영업,0,서울특별시 종로구 관철동 180번지 ,서울특별시 종로구 삼일대로17길 51 1층 (관철동),세븐일레븐 종각점,편의점
20080624,영업,0,서울특별시 종로구 견지동 110번지 종로1가 대성스카이렉스 지상1층 104호 ,서울특별시 종로구 삼봉로 95 (견지동종로1가 대성스카이렉스 지상1층 104호),미니스톱(종각중앙점),편의점
20171017,영업,0,,서울특별시 종로구 평창문화로 87 1층 (평창동),GS25 평창파크팰리스점,편의점
20171017,영업,0,서울특별시 종로구 효제동 248-1번지 ,서울특별시 종로구 대학로 4-1 1층 (효제동),cu종로햇살점,편의점
20170801,영업,0,서울특별시 종로구 평창동 345-6번지 ,서울특별시 종로구 평창길 8 1층 (평창동),CU 평창다솜점,편의점
20180427,영업,0,서울특별시 종로구 교남동 10번지 롯데리아 ,서울특별시 종로구 통일로 146 롯데리아 1층 (교남동),CU종로교남점,편의점
20180514,영업,0,서울특별시 종로구 팔판동 41-2번지 ,서울특별시 종로구 팔판길 22-1 1층 (팔판동),팔판동 꼬마김밥 & 토스트,편의점
20180517,영업,0,서울특별시 종로구 삼청동 20-7번지 ,서울특별시 종로구 삼청로 138 1-2층 (삼청동),네이처셀카페,편의점
20060918,영업,0,서울특별시 종로구 필운동 56-1번지 ,서울특별시 종로구 필운대로1길 19 (필운동),빵나무,편의점
20040922,영업,0,서울특별시 종로구 내수동 72번지 경희궁의아침3단지 101102133호 ,서울특별시 종로구 사직로8길 34 (내수동경희궁의아침3단지 101102133호),미니스톱 경희궁점,편의점
20170915,영업,0,서울특별시 종로구 계동 140-49번지 ,서울특별시 종로구 창덕궁1길 29 1층 (계동),모노치즈 북촌점,편의점
20120719,영업,0,서울특별시 종로구 화동 37번지 ,서울특별시 종로구 삼청로4길 18 1층 (화동),일큐팔사 츄러스(1Q84CHURROS),편의점
20160822,영업,0,서울특별시 종로구 혜화동 122-4번지 1층 ,서울특별시 종로구 창경궁로 271 1층 (혜화동),주스킹 대학로점,편의점
20160823,영업,0,서울특별시 종로구 신영동 115번지 1층 ,서울특별시 종로구 세검정로6길 98 1층 (신영동),울루벨루 커피,편의점
20171214,영업,0,서울특별시 종로구 명륜4가 54-4번지 ,서울특별시 종로구 대명길 31 4층 (명륜4가),행운사주카페,편의점
20171221,영업,0,서울특별시 종로구 명륜3가 1-3번지 ,서울특별시 종로구 명륜길 21 1층 (명륜3가),cu성대킹고점,편의점
20020417,영업,0,서울특별시 종로구 숭인동 228-6번지 1층 ,서울특별시 종로구 종로 374 (숭인동1층),미니스톱 숭인점,편의점
20170427,영업,0,서울특별시 종로구 창신동 243번지 1층105호 ,서울특별시 종로구 지봉로 43 1층 105호 (창신동),GS25 창신점,편의점
20170501,영업,0,서울특별시 종로구 명륜4가 59-3번지 1층 ,서울특별시 종로구 대명길 37 1층 (명륜4가),아마스빈 대학로점,편의점
20150821,영업,0,서울특별시 종로구 관철동 43-8번지 ,서울특별시 종로구 청계천로 61 1층 (관철동),한국미니스톱청계센터점,편의점
20051130,영업,0,서울특별시 종로구 서린동 99번지 지하1층 ,서울특별시 종로구 종로 26 (서린동지하1층),소그노스에스프레소,편의점
20040422,영업,0,서울특별시 종로구 평동 108-1번지 외36필지 지상4층 ,서울특별시 종로구 새문안로 29 (평동외36필지 지상4층),구스토,편의점
20001214,영업,0,서울특별시 종로구 충신동 57-8번지 ,서울특별시 종로구 율곡로 235 (충신동),미니스톱종로충신점,편의점
20040512,영업,0,서울특별시 종로구 서린동 33번지 지하2층 ,서울특별시 종로구 청계천로 41 (서린동지하2층),한스델리,편의점
20080421,영업,0,서울특별시 종로구 종로1가 24번지 르메이에르종로타운 상가2층 232호 ,서울특별시 종로구 종로 19 (종로1가르메이에르종로타운 상가2층 232호),하루떡,편의점
20161122,영업,0,서울특별시 종로구 내수동 75번지 1층103호 용비어천가 ,서울특별시 종로구 새문안로3길 36 1층 103호 (내수동 용비어천가),GS25 종로내수점,편의점
20161202,영업,0,서울특별시 종로구 구기동 94번지 1층 ,서울특별시 종로구 진흥로 456 1층 (구기동),지에스(GS)수퍼마켓 종로구기점,편의점
20160825,영업,0,서울특별시 종로구 관수동 70-1번지 ,서울특별시 종로구 돈화문로 11-1 1층 (관수동),GS25 서울극장점,편의점
20170418,영업,0,서울특별시 종로구 종로5가 102번지 ,서울특별시 종로구 종로 205 1층 (종로5가),콩방,편의점
20170421,영업,0,서울특별시 종로구 종로1가 44번지 1호선종각역 152-05호 ,,세븐일레븐M종각역점,편의점
20140307,영업,0,서울특별시 종로구 평창동 157-1번지 ,서울특별시 종로구 평창문화로 81 1층 (평창동),카페 블레싱(cafe blessing),편의점
20050719,영업,0,서울특별시 종로구 수송동 58번지 1층 104호,서울특별시 종로구 삼봉로 81 1층 104호 (수송동),커피친구,편의점
20050812,영업,0,서울특별시 종로구 세종로 1-57번지 1층 ,,아름다운고궁,편의점
20120530,영업,0,서울특별시 종로구 신문로1가 163번지 B009호,서울특별시 종로구 새문안로 92 (신문로1가),요거프레소 광화문 오피시아점,편의점
20180409,영업,0,서울특별시 종로구 서린동 154-1번지 광화문우체국 ,서울특별시 종로구 종로 6 광화문우체국 1층 (서린동),스타벅스 광화문우체국,편의점
20061128,영업,0,서울특별시 종로구 부암동 260-13번지 (지상2층) ,서울특별시 종로구 창의문로 140-1 (부암동(지상2층)),명란식당,편의점
20140129,영업,0,서울특별시 종로구 와룡동 172-2번지 지상1층 ,서울특별시 종로구 삼일대로30길 56 지상1층 (와룡동),크레프 레이(CREPE REI),편의점
20140206,영업,0,서울특별시 종로구 무악동 45-94번지 ,서울특별시 종로구 통일로14길 24-2 1층 (무악동),카페다 커피(독립문점),편의점
20020321,영업,0,서울특별시 종로구 낙원동 272번지 ,,(주)커피빈코리아 인사점,편의점
20140319,영업,0,서울특별시 종로구 수송동 80번지 코리안리재보험빌딩 1층 ,서울특별시 종로구 종로5길 68 1층 (수송동 코리안리재보험빌딩),할리스커피 종로코리안리빌딩점,편의점
20050624,영업,0,서울특별시 종로구 관수동 88번지 3층 ,서울특별시 종로구 돈화문로 5 (관수동3층),미라클1 카페,편의점
20051109,영업,0,서울특별시 종로구 명륜2가 133-1번지 ,서울특별시 종로구 성균관로 23-1 (명륜2가),나눔,편의점
19990805,영업,0,서울특별시 종로구 돈의동 62번지 (지상1층) ,,세븐일레븐종로3가역점,편의점
20050706,영업,0,서울특별시 종로구 묘동 56번지 지상4층 ,서울특별시 종로구 돈화문로 26 (묘동지상4층),단성사구내매점,편의점
20160808,영업,0,서울특별시 종로구 관수동 3-2번지 서광빌딩 1층 ,서울특별시 종로구 삼일대로20길 19 1층 (관수동),세븐일레븐 종로 관수점,편의점
20171117,영업,0,서울특별시 종로구 재동 105-1번지 ,서울특별시 종로구 율곡로 59-1 12층 (재동),더치앤빈,편의점
20180919,영업,0,서울특별시 종로구 효제동 65-2번지 ,서울특별시 종로구 대학로 33 1층 (효제동),씨유 포레스트힐점,편의점
20170525,영업,0,서울특별시 종로구 누상동 53-1번지 103호,서울특별시 종로구 옥인길 23-6 103호 (누상동),무드벨벳(mood velaet),편의점
20180306,영업,0,서울특별시 종로구 신문로2가 92번지 LG광화문빌딩 ,서울특별시 종로구 새문안로 58 LG광화문빌딩 지하1층 B105호 (신문로2가),투썸플레이스 LG광화문빌딩점,편의점
20051207,영업,0,서울특별시 종로구 관철동 289번지 ,서울특별시 종로구 우정국로 4 (관철동),석봉토스트,편의점
20180102,영업,0,서울특별시 종로구 교북동 126번지 경희궁자이 4단지 ,서울특별시 종로구 송월길 155 1층 4114~4119호 (교북동 경희궁자이 4단지),스타벅스 독립문역,편의점
20180111,영업,0,서울특별시 종로구 적선동 156번지 광화문플래티넘 1층 101호,서울특별시 종로구 새문안로5가길 28 광화문플래티넘 1층 101호 (적선동),스타벅스정부서울청사R,편의점
20180116,영업,0,서울특별시 종로구 삼청동 27-22번지 ,서울특별시 종로구 북촌로 137-7 (삼청동),3안,편의점
20180116,영업,0,서울특별시 종로구 창신동 592-7번지 ,서울특별시 종로구 창신6길 2 1층 (창신동),세븐일레븐 창신우리점,편의점
20170929,영업,0,서울특별시 종로구 명륜1가 1-5번지 ,서울특별시 종로구 성균관로17길 53 B101호 (명륜1가),라뜰리에 꼼때,편의점
20171011,영업,0,서울특별시 종로구 당주동 100번지 ,서울특별시 종로구 세종대로23길 54 지하층 118호 (당주동 세종빌딩),오분국물떡볶이,편의점
20170921,영업,0,서울특별시 종로구 혜화동 87-5번지 ,서울특별시 종로구 창경궁로 283-1 1층 (혜화동),혜화동 콩집,편의점
20051229,영업,0,서울특별시 종로구 동숭동 50-59번지 지상2층 ,서울특별시 종로구 동숭길 84-1 (동숭동지상2층),메리메이트(MerryMate),편의점
20160804,영업,0,서울특별시 종로구 화동 137-5번지 2층 ,서울특별시 종로구 율곡로3길 74-3 2층 (화동),스모어마켓,편의점
20081118,영업,0,서울특별시 종로구 부암동 279-19번지 ,서울특별시 종로구 창의문로 155 1층 (부암동),소마 (SOMA),편의점
20040324,영업,0,서울특별시 종로구 종로6가 247-1번지 ,서울특별시 종로구 종로41길 3 (종로6가),미니스톱 종로6가,편의점
20170922,영업,0,서울특별시 종로구 당주동 5번지 ,서울특별시 종로구 새문안로5길 19 제지하1층 12호 (당주동),수프로,편의점
20050328,영업,0,서울특별시 종로구 세종로 1-1번지 국립민속박물관 지상1층 ,서울특별시 종로구 삼청로 37 (세종로국립민속박물관 지상1층),풀오브 빈스 느루,편의점
20050330,영업,0,서울특별시 종로구 익선동 34번지 ,서울특별시 종로구 삼일대로30길 23 (익선동),GS25 종로익선점,편의점
20171114,영업,0,서울특별시 종로구 동숭동 1-144번지 낙산재 ,서울특별시 종로구 대학로12길 73 1층 (동숭동),(주)비지에프휴먼넷 CU 마로니에공원점,편의점
20170607,영업,0,서울특별시 종로구 평창동 99-1번지 1층 ,서울특별시 종로구 평창30길 21 1층 (평창동),프랑지파니 플라워아뜰리에,편의점
