XÁÂÇ¥(°æµµ),YÁÂÇ¥(À§µµ),ÇÕ°è
126.76245,37.41205,0
126.76245,37.41615,0
126.76245,37.42025,0
126.76245,37.42435,0
126.76245,37.42845,0
126.76245,37.43254999999999,0
126.76245,37.43665,0
126.76245,37.44075,0
126.76245,37.44485,0
126.76245,37.44895,0
126.76245,37.45304999999999,0
126.76245,37.45715,0
126.76245,37.46124999999999,0
126.76245,37.46535,0
126.76245,37.46945,0
126.76245,37.47355,0
126.76245,37.47765,0
126.76245,37.48174999999999,0
126.76245,37.48585,0
126.76245,37.48994999999999,0
126.76245,37.49405,0
126.76245,37.49815,0
126.76245,37.50225,0
126.76245,37.50635,0
126.76245,37.51044999999999,0
126.76245,37.51455,0
126.76245,37.51865,0
126.76245,37.52275,0
126.76245,37.52685,0
126.76245,37.53094999999999,0
126.76245,37.53505,0
126.76245,37.53914999999999,0
126.76245,37.54325,0
126.76245,37.54735,0
126.76245,37.55145,0
126.76245,37.55555,1
126.76245,37.55964999999999,0
126.76245,37.56375,0
126.76245,37.56784999999999,0
126.76245,37.57195,0
126.76245,37.57605,0
126.76245,37.58015,0
126.76245,37.58425,0
126.76245,37.58834999999999,0
126.76245,37.59245,0
126.76245,37.59654999999999,0
126.76245,37.60065,0
126.76245,37.60475,0
126.76245,37.60885,0
126.76245,37.61295,0
126.76245,37.61704999999999,0
126.76245,37.62115,0
126.76245,37.62525,0
126.76245,37.62935,0
126.76245,37.63345,0
126.76245,37.63754999999999,0
126.76245,37.64165,0
126.76245,37.64574999999999,0
126.76245,37.64985,0
126.76245,37.65395,0
126.76245,37.65805,0
126.76245,37.66215,0
126.76245,37.66624999999999,0
126.76245,37.67035,0
126.76245,37.67444999999999,0
126.76245,37.67855,0
126.76245,37.68265,0
126.76245,37.68675,0
126.76245,37.69085,0
126.76245,37.69494999999999,0
126.76245,37.69905,0
126.76245,37.70315,0
126.76245,37.70725,0
126.76245,37.71135,0
126.76245,37.71545,0
126.76835,37.41205,0
126.76835,37.41615,0
126.76835,37.42025,0
126.76835,37.42435,0
126.76835,37.42845,0
126.76835,37.43254999999999,0
126.76835,37.43665,0
126.76835,37.44075,0
126.76835,37.44485,0
126.76835,37.44895,0
126.76835,37.45304999999999,0
126.76835,37.45715,0
126.76835,37.46124999999999,0
126.76835,37.46535,0
126.76835,37.46945,0
126.76835,37.47355,0
126.76835,37.47765,0
126.76835,37.48174999999999,0
126.76835,37.48585,0
126.76835,37.48994999999999,0
126.76835,37.49405,0
126.76835,37.49815,0
126.76835,37.50225,0
126.76835,37.50635,0
126.76835,37.51044999999999,0
126.76835,37.51455,0
126.76835,37.51865,0
126.76835,37.52275,0
126.76835,37.52685,0
126.76835,37.53094999999999,0
126.76835,37.53505,0
126.76835,37.53914999999999,0
126.76835,37.54325,0
126.76835,37.54735,0
126.76835,37.55145,0
126.76835,37.55555,14
126.76835,37.55964999999999,0
126.76835,37.56375,0
126.76835,37.56784999999999,0
126.76835,37.57195,0
126.76835,37.57605,0
126.76835,37.58015,0
126.76835,37.58425,0
126.76835,37.58834999999999,0
126.76835,37.59245,0
126.76835,37.59654999999999,0
126.76835,37.60065,0
126.76835,37.60475,0
126.76835,37.60885,0
126.76835,37.61295,0
126.76835,37.61704999999999,0
126.76835,37.62115,0
126.76835,37.62525,0
126.76835,37.62935,0
126.76835,37.63345,0
126.76835,37.63754999999999,0
126.76835,37.64165,0
126.76835,37.64574999999999,0
126.76835,37.64985,0
126.76835,37.65395,0
126.76835,37.65805,0
126.76835,37.66215,0
126.76835,37.66624999999999,0
126.76835,37.67035,0
126.76835,37.67444999999999,0
126.76835,37.67855,0
126.76835,37.68265,0
126.76835,37.68675,0
126.76835,37.69085,0
126.76835,37.69494999999999,0
126.76835,37.69905,0
126.76835,37.70315,0
126.76835,37.70725,0
126.76835,37.71135,0
126.76835,37.71545,0
126.77425,37.41205,0
126.77425,37.41615,0
126.77425,37.42025,0
126.77425,37.42435,0
126.77425,37.42845,0
126.77425,37.43254999999999,0
126.77425,37.43665,0
126.77425,37.44075,0
126.77425,37.44485,0
126.77425,37.44895,0
126.77425,37.45304999999999,0
126.77425,37.45715,0
126.77425,37.46124999999999,0
126.77425,37.46535,0
126.77425,37.46945,0
126.77425,37.47355,0
126.77425,37.47765,0
126.77425,37.48174999999999,0
126.77425,37.48585,0
126.77425,37.48994999999999,0
126.77425,37.49405,0
126.77425,37.49815,0
126.77425,37.50225,0
126.77425,37.50635,0
126.77425,37.51044999999999,0
126.77425,37.51455,0
126.77425,37.51865,0
126.77425,37.52275,0
126.77425,37.52685,0
126.77425,37.53094999999999,0
126.77425,37.53505,0
126.77425,37.53914999999999,0
126.77425,37.54325,0
126.77425,37.54735,0
126.77425,37.55145,1
126.77425,37.55555,0
126.77425,37.55964999999999,0
126.77425,37.56375,0
126.77425,37.56784999999999,0
126.77425,37.57195,0
126.77425,37.57605,0
126.77425,37.58015,0
126.77425,37.58425,0
126.77425,37.58834999999999,0
126.77425,37.59245,0
126.77425,37.59654999999999,0
126.77425,37.60065,0
126.77425,37.60475,0
126.77425,37.60885,0
126.77425,37.61295,0
126.77425,37.61704999999999,0
126.77425,37.62115,0
126.77425,37.62525,0
126.77425,37.62935,0
126.77425,37.63345,0
126.77425,37.63754999999999,0
126.77425,37.64165,0
126.77425,37.64574999999999,0
126.77425,37.64985,0
126.77425,37.65395,0
126.77425,37.65805,0
126.77425,37.66215,0
126.77425,37.66624999999999,0
126.77425,37.67035,0
126.77425,37.67444999999999,0
126.77425,37.67855,0
126.77425,37.68265,0
126.77425,37.68675,0
126.77425,37.69085,0
126.77425,37.69494999999999,0
126.77425,37.69905,0
126.77425,37.70315,0
126.77425,37.70725,0
126.77425,37.71135,0
126.77425,37.71545,0
126.78015,37.41205,0
126.78015,37.41615,0
126.78015,37.42025,0
126.78015,37.42435,0
126.78015,37.42845,0
126.78015,37.43254999999999,0
126.78015,37.43665,0
126.78015,37.44075,0
126.78015,37.44485,0
126.78015,37.44895,0
126.78015,37.45304999999999,0
126.78015,37.45715,0
126.78015,37.46124999999999,0
126.78015,37.46535,0
126.78015,37.46945,0
126.78015,37.47355,0
