소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,설치년월
양화로 72,서교동 395-43,주정차단속,1,2005-07
양화로 72,서교동 395-43,주정차단속,1,2005-07
환일길 27,아현동 723-12,방범,1,2006-09
신촌로32길 4,아현동 346-21,방범,1,2006-09
숭문16길 38,아현동 680,방범,1,2006-09
대흥로30길 45,아현동 676,방범,1,2006-09
만리재옛길 41,공덕동 120-38,방범,1,2006-09
백범로37길,신공덕동 38-2,방범,1,2006-09
마포대로11길 118,염리동 128-7,방범,1,2006-09
숭문16나길 14,염리동 10-5,방범,1,2006-09
새창로6길 24,도화동 1-110,방범,1,2006-09
대흥로8길 27,대흥동 764-4,방범,1,2006-09
고산16길 15,대흥동 18-47,방범,1,2006-09
고산길 70,노고산동 12-34,방범(어린이보호구역),1,2006-09
신촌로22길 9,노고산동 19-40,방범(어린이보호구역),1,2006-09
와우산로24길 38,창전동 6-100,방범,1,2006-09
토정로16길 48,현석동 156,방범,1,2006-09
양화로18길 9,동교동 166-11,방범,1,2006-09
와우산로27길 74,서교동 347-19,방범(어린이보호구역),1,2006-09
와우산로21길 38,서교동 358-58,방범,1,2006-09
동교로19길 20,서교동 448-37,방범,1,2006-09
연남로3길 81,연남동 564-25,방범,1,2006-09
월드컵로5길 48,합정동 430-15,방범,1,2006-09
월드컵로23길 12,망원동 485-5,방범,1,2006-09
망원로6길 19,망원동 415-53,방범,1,2006-09
월드컵로29길 61,망원동 426-2,방범(어린이보호구역),1,2006-09
월드컵로31길 78,망원동 466-9,방범(어린이보호구역),1,2006-09
동교로17길 18,성산동 637-2,방범,1,2006-09
성미산로5길 17,성산동 250-3,방범,1,2006-09
월드컵로28길 29,성산동 257-10,방범,1,2006-09
연남로11길 52,성산동 3-24,방범,1,2006-09
성암로3길 34,중동 254,방범(어린이보호구역),1,2006-09
마포대로14다길 16,공덕동 79-5,방범,1,2007-10
마포대로6길 28,공덕동 256-17,방범(어린이보호구역),1,2007-10
마포대로12길 37,공덕동 242-46,방범,1,2007-10
마포대로24안길 5,아현동 743-8,방범,1,2007-10
만리재로12가길 12,공덕동 11-133,방범,1,2007-10
굴레방로 21-1,아현동 291-21,방범(어린이보호구역),1,2007-10
대흥로6길 15-1,용강동 494-62,방범,1,2007-10
토정로25길 6,용강동 494-35,방범,1,2007-10
도화2안길 29,도화동 209-17,방범,1,2007-10
숭문16길 16,염리동 9-7,방범,1,2007-10
신촌로12길 29,노고산동 56-44,방범,1,2007-10
와우산로26길 9-24,창전동 6-123,방범,1,2007-10
어울마당로2길 13,당인동 15-28,방범,1,2007-10
광성로6안길 13,신수동 89-54,방범,1,2007-10
와우산로17길 23,서교동 408-1,방범,1,2007-10
성미산로 190-31,연남동 385-8,방범,1,2007-10
월드컵북로4길 72,동교동 198-1,방범,1,2007-10
성미산로 161-15,연남동 240-1,방범,1,2007-10
잔다리로 81,서교동 466-2,방범,1,2007-10
연희로1길 43,연남동 382-2,방범,1,2007-10
망원로3길 12,망원동 428-20,방범(어린이보호구역),1,2007-10
월드컵로11길 61,망원동 384-1,방범,1,2007-10
월드컵로7길 89,합정동 434-14,방범,1,2007-10
성지3길 19,합정동 371-24,방범,1,2007-10
토정로5길 26,합정동 357-17,방범,1,2007-10
성암로3길 1,중동 308,방범,1,2007-10
성미산로13길 53,성산동9-16,방범,1,2007-10
성산로6길 25,성산동 72-3,방범,1,2007-10
월드컵로16길 34,서교동 473-1,방범,1,2007-10
월드컵북로31길 5,성산동 165-41,방범,1,2007-10
마포대로 189,아현동 617-2,방범,1,2008-12
신촌로34길 23,아현동 326-31,방범,1,2008-12
효창목길 30,공덕동 111-110,방범,1,2008-12
만리재로10길 21,공덕동 106-31,방범,1,2008-12
숭문길 106,염리동 8-141,방범,1,2008-12
고산14길 26,대흥동 18-141,방범,1,2008-12
대흥로24길 7,대흥동 3-29,방범,1,2008-12
큰우물로2길 11,용강동 310-1,방범,1,2008-12
마포대로11길 91,염리동 128-68,방범,1,2008-12
와우산로3길 39,당인동 28-1,방범,1,2008-12
신촌로24안길 1,노고산동 1-60,방범,1,2008-12
독막로15길 9,상수동 310-20,방범,1,2008-12
대흥로11길 29,신수동 62-15,방범,1,2008-12
연남로11길 21,연남동 364-19,방범,1,2008-12
잔다리로3길 31,서교동 395-135,방범,1,2008-12
동교로22길 30,서교동 463-4,방범,1,2008-12
연남로5길 32,연남동 561-18,방범,1,2008-12
와우산로15길 22,서교동 409-6,방범,1,2008-12
동교로50길 17,연남동 224-55,방범,1,2008-12
연남로9길 11,연남동 370-54,방범,1,2008-12
포은로6길 39,망원동 414-89,방범,1,2008-12
월드컵로7길 25,합정동 429-54,방범(어린이보호구역),1,2008-12
희우정로13길 24,망원동 459-4,방범,1,2008-12
방울내로 11길 61,망원동 469-5,방범,1,2008-12
월드컵로 11길 13,망원동 385-22,방범,1,2008-12
동교로8길 39,합정동 448-18,방범,1,2008-12
월드컵로30길 16,성산동 262-2,방범,1,2008-12
성미산로3길 50,성산동 30-21,방범,1,2008-12
월드컵북로12안길 68,성산동 49-9,방범,1,2008-12
모래내로7길 36,성산동 137-5,방범(어린이보호구역),1,2008-12
동교로19길 78,성산동 632-2,방범,1,2008-12
임정로13길 14,신공덕동 139-183,방범,1,2009-07
만리재로16안길 11-2,공덕동 7-86,방범,1,2009-07
효창목5길 3,공덕동 107-40,방범,1,2009-07
손기정로 42,아현동 707-4,방범,1,2009-07
마포대로4다길 3,마포동 331-1,방범,1,2009-07
대흥로10길 6-9,대흥동 2-18,방범,1,2009-07
숭문6길 22,염리동 518,방범(어린이보호구역),1,2009-07
대흥로28길 8,대흥동 3-14,방범,1,2009-07
신촌로24안길 24,대흥동 18-98,방범,1,2009-07
와우산로26길 54,창전동 6-108,방범,1,2009-07
와우산로24길 434-4,창전동 6-75,방범,1,2009-07
독막로19길 23,상수동 93-3,방범(어린이보호구역),1,2009-07
대흥로9길 26,신수동 250-16,방범(어린이보호구역),1,2009-07
와우산로138-9,창전동 6-273,방범,1,2009-07
신촌로 94,노고산동 57-1,방범,1,2009-07
동교로12안길 31,서교동 481-13,방범,1,2009-07
양화로19길 22,동교동 154-22,방범,1,2009-07
와우산로37길 10,동교동 181-19,방범,1,2009-07
어울마당로5길 46,서교동 397-15,방범,1,2009-07
방울내로9안길 103,망원동 439-5,방범,1,2009-07
독막로4길 10,합정동 363-8,방범,1,2009-07
양화로7길 12,서교동 391-17,방범,1,2009-07
방울내로11길 129,망원동 465-14,방범,1,2009-07
희우정로17길 23,망원동 460-1,방범,1,2009-07
성산로4길 46,성산동 81-107,방범,1,2009-07
성미산로7길 4,성산동 243-7,방범(어린이보호구역),1,2009-07
월드컵북로48길 38,상암동 14-3,방범,1,2009-07
월드컵로30다길 23-10,성산동 214-16,방범,1,2009-07
성산로2길 21,성산동 277-1,방범,1,2009-07
월드컵북로23길 10,성산동 56-2,방범,1,2009-07
신촌로32길 4,아현동 346-21,방범,1,2010-01
상암산로1길 55,상암동 1689,방범(공원),1,2010-03
상암산로1길 55,상암동 1689,방범(공원),1,2010-03
손기정로4안길 11,아현동 716-7,방범,1,2010-03
마포대로 24길 51,아현동 395-1,방범(어린이보호구역),1,2010-03
임정로17길 10,신공덕동 2-128,방범,1,2010-03
신촌로30길 4,아현동 347-3,방범,1,2010-03
굴레방로 7,아현동 282-17,방범(어린이보호구역),1,2010-03
서강대길 11,신수동 23-1,방범,1,2010-03
대흥로 24길 23,염리동 10-81,방범,1,2010-03
삼개로1길 3,도화동 201-55,방범,1,2010-03
새창로4길 15,도화동 185-20,방범,1,2010-03
마포대로4나길 13,마포동 220,방범,1,2010-03
와우산로7길 11,상수동 326-1,방범,1,2010-03
와우산로5길 39,당인동 14-1,방범,1,2010-03
신수로 106,신수동 93-111,방범,1,2010-03
신수로 25,신수동 70-18,방범,1,2010-03
와우산로38길 6,동교동 188-4,방범,1,2010-03
와우산로38길 32,동교동 190-37,방범,1,2010-03
양화로8길 21,서교동 395-195,방범,1,2010-03
잔다리로3안길 31,서교동 395-128,방범,1,2010-03
월드컵로8길 73,서교동 466-9,방범,1,2010-03
동교로 282,연남동 224-18,방범,1,2010-03
동교로46길 30,연남동 384-1,방범,1,2010-03
월드컵로19길 21,망원동 57-17,방범,1,2010-03
월드컵로20길 58,망원동 57-169,방범,1,2010-03
방울내로9안길 29,망원동 467-3,방범(어린이보호구역),1,2010-03
토정로3안길 20,합정동 368-4,방범,1,2010-03
독막로6길 22,합정동 361-4,방범,1,2010-03
성미산로11길 75,성산동 20-2,방범,1,2010-03
